SSH key found in project metadata; not updating instance.
SSH: Attempting to connect to worker 0...
SSH: Attempting to connect to worker 1...
SSH: Attempting to connect to worker 2...
SSH: Attempting to connect to worker 3...
Hardware: 16 devices across 4 processes. Platform: tpu
AST Zero-Transcendental Audit: PASS
Distributed Mesh Topology: OrderedDict([('data', 2), ('fsdp', 2), ('model', 4)])

==================== Starting Pretraining: StandardTransformerLM (100000 steps) ====================
[StandardTransformerLM] Step    500/100000 | Loss: 6.3616 | Grad Norm: 0.257 | Throughput: 2,459,915 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step   1000/100000 | Loss: 5.2812 | Grad Norm: 0.446 | Throughput: 2,446,488 tok/s | Step time: 13.4ms
[StandardTransformerLM] Step   1500/100000 | Loss: 4.8227 | Grad Norm: 0.389 | Throughput: 2,457,582 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step   2000/100000 | Loss: 4.4567 | Grad Norm: 0.408 | Throughput: 2,472,794 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step   2500/100000 | Loss: 4.0520 | Grad Norm: 0.407 | Throughput: 2,461,504 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step   3000/100000 | Loss: 3.9344 | Grad Norm: 0.408 | Throughput: 2,465,008 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step   3500/100000 | Loss: 3.7779 | Grad Norm: 0.386 | Throughput: 2,458,767 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step   4000/100000 | Loss: 3.7124 | Grad Norm: 0.388 | Throughput: 2,468,418 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step   4500/100000 | Loss: 3.6872 | Grad Norm: 0.403 | Throughput: 2,476,784 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step   5000/100000 | Loss: 3.5786 | Grad Norm: 0.396 | Throughput: 2,467,271 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step   5500/100000 | Loss: 3.6460 | Grad Norm: 0.381 | Throughput: 2,467,083 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step   6000/100000 | Loss: 3.5757 | Grad Norm: 0.383 | Throughput: 2,472,855 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step   6500/100000 | Loss: 3.5943 | Grad Norm: 0.376 | Throughput: 2,476,417 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step   7000/100000 | Loss: 3.5149 | Grad Norm: 0.373 | Throughput: 2,481,610 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step   7500/100000 | Loss: 3.4041 | Grad Norm: 0.367 | Throughput: 2,477,802 tok/s | Step time: 13.2ms
